nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8475168,308,Matt Duchene,DAL,C,4,Skater,0,10.65,2.663,2,4,866.75
8476856,2807,Mathew Dumba,PIT,D,5,Skater,1,10.65,2.13,9,4,901.6
8479402,4162,Jake Bean,CGY,D,9,Skater,1,10.65,1.183,3,17,1007.77
8480806,4897,Isac Lundestrom,CBJ,C,10,Skater,1,10.65,1.065,4,6,710.7
8481237,5219,Kyle MacLean,NYI,C,7,Skater,1,10.500000000000002,1.5,12,1,580.28
8484829,,Justin Hryckowian,DAL,C,10,Skater,0,10.5,1.05,16,2,556.8
8476438,2614,Brandon Saad,VGK,L,11,Skater,1,10.15,0.923,2,8,791.63
8475752,,Tyler Pitlick,MIN,C,6,Skater,0,10.05,1.675,18,3,501.0
8476474,,Stefan Noesen,NJD,R,5,Skater,0,9.750000000000002,1.95,7,2,550.0
8483733,,Nikita Grebenkin,PHI,R,6,Skater,0,9.750000000000002,1.625,7,1,532.5
8477845,3428,Trevor van Riemsdyk,WSH,D,9,Skater,1,9.75,1.083,1,7,859.66
8478104,,Samuel Blais,TOR,L,1,Skater,0,9.65,9.65,5,1,655.0
8482076,,Nico Daws,NJD,G,1,Goalie,0,9.5,9.5,0,0,0
8484768,9841,Zayne Parekh,CGY,D,9,Skater,0,9.45,1.05,4,4,953.33
8477993,3470,Justin Kirkland,CGY,C,8,Skater,1,9.350000000000001,1.169,12,2,559.12
8480001,4457,Urho Vaakanainen,NYR,D,9,Skater,1,9.3,1.033,3,6,908.55
8476854,2880,Hampus Lindholm,BOS,D,5,Skater,1,9.2,1.84,1,8,1019.6
8479980,4491,Nicolas Hague,NSH,D,4,Skater,1,9.0,2.25,9,4,1208.5
8482118,8270,Sam Colangelo,ANA,R,6,Skater,1,8.9,1.483,9,1,630.5
8484304,9548,Uvis Balinskis,FLA,D,9,Skater,1,8.850000000000001,0.983,10,8,806.33
8482623,8491,Josh Dunne,BUF,C,5,Skater,1,8.85,1.77,6,1,564.0
8483570,,Ben Meyers,SEA,C,4,Skater,0,8.85,2.212,8,1,537.5
8482768,8513,Fedor Svechkov,NSH,C,10,Skater,1,8.75,0.875,6,3,779.2
8482733,8502,Logan Mailloux,STL,D,8,Skater,1,8.600000000000001,1.075,12,5,743.5
8480879,4866,Jacob Bernard-Docker,DET,D,8,Skater,1,8.6,1.075,4,4,757.5
8483531,,Brian Halonen,NJD,L,7,Skater,0,8.55,1.221,17,0,461.85
8475852,2244,Petr Mrazek,ANA,G,2,Goalie,1,8.5,4.25,0,0,0
8474612,473,Travis Hamonic,DET,D,4,Skater,1,8.45,2.112,2,6,827.25
8479705,4079,Jeffrey Viel,BOS,L,3,Skater,1,8.4,2.8,14,1,733.33
8480051,7585,Cayden Primeau,TOR,G,3,Goalie,0,8.25,2.75,0,0,0
8481551,7938,Colten Ellis,BUF,G,1,Goalie,1,8.25,8.25,0,0,0
8481556,9051,John Beecher,BOS,C,3,Skater,1,8.05,2.683,4,3,751.0
8475690,1892,Chris Tanev,TOR,D,7,Skater,1,8.0,1.143,2,8,1061.71
8481529,,Trent Miner,COL,G,2,Goalie,0,8.0,4.0,0,0,0
8482137,,Yaroslav Askarov,SJS,G,6,Goalie,0,8.0,1.333,0,0,0
8480813,4884,Joseph Veleno,MTL,C,6,Skater,1,7.9,1.317,12,2,663.16
8482166,,Shakir Mukhamadullin,SJS,D,2,Skater,0,7.9,3.95,1,3,874.5
8480074,,Alexandre Texier,STL,L,7,Skater,0,7.8500000000000005,1.121,8,1,597.14
8484860,,Matvei Gridin,CGY,R,4,Skater,0,7.8500000000000005,1.963,1,3,883.0
