nhl_id,name,pos,team
8483531,Brian Halonen,L,NJD
8484177,Lenni Hameenaho,R,NJD
8482635,Mike Hardman,L,NJD
8480002,Nico Hischier,C,NJD
8481559,Jack Hughes,C,NJD
8482941,Shane Lachance,L,NJD
8477996,Juho Lammikko,C,NJD
8481594,Nathan Légaré,R,NJD
8477073,Kurtis MacDermid,L,NJD
8483397,Marc McLaughlin,C,NJD
8478414,Timo Meier,R,NJD
8482110,Dawson Mercer,C,NJD
8476474,Stefan Noesen,R,NJD
8476292,Ondrej Palat,L,NJD
8483841,Xavier Parent,C,NJD
8480884,Calen Addison,D,NJD
8483429,Seamus Casey,D,NJD
8479395,Dennis Cholowski,D,NJD
8475455,Brenden Dillon,D,NJD
8483085,Mikael Diotte,D,NJD
8482194,Ethan Edwards,D,NJD
8476462,Dougie Hamilton,D,NJD
8482684,Luke Hughes,D,NJD
8480192,Johnathan Kovacevic,D,NJD
8483495,Simon Nemec,D,NJD
8477488,Brett Pesce,D,NJD
8478399,Jonas Siegenthaler,D,NJD
8482873,Topias Vilen,D,NJD
8478841,Colton White,D,NJD
8474596,Jake Allen,G,NJD
8482076,Nico Daws,G,NJD
8474593,Jacob Markstrom,G,NJD
8476981,Josh Anderson,R,MTL
8483424,Owen Beck,C,MTL
8478104,Sammy Blais,L,MTL
8482737,Zack Bolduc,R,MTL
8481540,Cole Caufield,R,MTL
8481523,Kirby Dach,C,MTL
8484984,Ivan Demidov,R,MTL
8478133,Jake Evans,C,MTL
8475848,Brendan Gallagher,R,MTL
8482775,Oliver Kapanen,C,MTL
8479339,Patrik Laine,R,MTL
8481618,Alex Newhook,C,MTL
8483515,Juraj Slafkovský,L,MTL
8480018,Nick Suzuki,C,MTL
8480813,Joe Veleno,C,MTL
8484403,Florian Xhekaj,L,MTL
8478851,Alexandre Carrier,D,MTL
8480865,Noah Dobson,D,MTL
8483686,Adam Engstrom,D,MTL
8482087,Kaiden Guhle,D,MTL
8483457,Lane Hutson,D,MTL
8482927,Gannon Laroque,D,MTL
8476875,Mike Matheson,D,MTL
8484220,David Reinbacher,D,MTL
8481593,Jayden Struble,D,MTL
8482806,William Trudeau,D,MTL
8482964,Arber Xhekaj,D,MTL
8482487,Jakub Dobes,G,MTL
8478039,Kaapo Kahkonen,G,MTL
8478470,Sam Montembeault,G,MTL
8482496,Nils Aman,C,VAN
8483395,Arshdeep Bains,L,VAN
8476927,Teddy Blueger,C,VAN
8478444,Brock Boeser,R,VAN
8480078,Filip Chytil,C,VAN
8485385,Braeden Cootes,C,VAN
8478498,Jake DeBrusk,L,VAN
8478856,Conor Garland,R,VAN
8481535,Nils Hoglander,L,VAN
8475169,Evander Kane,L,VAN
8481024,Linus Karlsson,C,VAN
8480833,Vitali Kravtsov,R,VAN
8483476,Jonathan Lekkerimäki,R,VAN
8482055,Drew O'Connor,L,VAN
8480012,Elias Pettersson,C,VAN
8482691,Aatu Raty,C,VAN
8483110,Anri Ravinskis,R,VAN
8484136,Max Sasson,C,VAN
8480748,Kiefer Sherwood,L,VAN
8475762,Derek Forbort,D,VAN
8479425,Filip Hronek,D,VAN
8480800,Quinn Hughes,D,VAN
8480058,P.O Joseph,D,VAN
8483768,Victor Mancini,D,VAN
8474574,Tyler Myers,D,VAN
8483678,Elias Pettersson,D,VAN
8477969,Marcus Pettersson,D,VAN
8484240,Tom Willander,D,VAN
8477967,Thatcher Demko,G,VAN
8480947,Kevin Lankinen,G,VAN
8484268,Nikita Tolopilo,G,VAN
8475461,Andrew Agozzino,L,UTA
8484388,Daniil But,L,UTA
8479619,Michael Carcone,L,UTA
8483431,Logan Cooley,C,UTA
8478474,Lawson Crouse,L,UTA
8480876,Curtis Douglas,C,UTA
8482699,Dylan Guenther,R,UTA
8480849,Barrett Hayton,C,UTA
8479656,Cameron Hebig,C,UTA
8484795,Tij Iginla,C,UTA
8479343,Clayton Keller,R,UTA
8477021,Alexander Kerfoot,C,UTA
8480855,Jack McBain,C,UTA
8481827,Ben McCartney,L,UTA
8477070,Liam O'Brien,C,UTA
8482175,JJ Peterka,R,UTA
8477951,Nick Schmaltz,C,UTA
8485007,Gabe Smith,C,UTA
8478831,Kevin Stenlund,C,UTA
8479293,Brandon Tanev,L,UTA
8479977,Kailer Yamamoto,R,UTA
8474013,Ian Cole,D,UTA
8480084,Nick DeSimone,D,UTA
8480434,Sean Durzi,D,UTA
8484175,Terrell Goldsmith,D,UTA
8478507,John Marino,D,UTA
8476874,Olli Määttä,D,UTA
8481059,Scott Perunovich,D,UTA
8477220,Nate Schmidt,D,UTA
8479410,Mikhail Sergachev,D,UTA
8484386,Dmitri Simashev,D,UTA
8479976,Juuso Välimäki,D,UTA
8483530,Jaxson Stauber,G,UTA
8483099,Anson Thornton,G,UTA
8477970,Vitek Vanecek,G,UTA
8478872,Karel Vejmelka,G,UTA
8480191,Matt Villalta,G,UTA
8479944,Zachary Aston-Reese,C,CBJ
8482475,Yegor Chinakhov,R,CBJ
8475745,Charlie Coyle,C,CBJ
8484166,Adam Fantilli,C,CBJ
8476432,Boone Jenner,C,CBJ
8482660,Kent Johnson,C,CBJ
8480806,Isac Lundestrom,C,CBJ
8480893,Kirill Marchenko,R,CBJ
8477497,Sean Monahan,C,CBJ
8479671,Mathieu Olivier,R,CBJ
8482705,Cole Sillinger,C,CBJ
8481716,Dmitri Voronkov,L,CBJ
8477425,Miles Wood,L,CBJ
8481161,Jake Christiansen,D,CBJ
8479371,Dante Fabbro,D,CBJ
8475790,Erik Gudbranson,D,CBJ
8482094,Daemon Hunt,D,CBJ
8483485,Denton Mateychuk,D,CBJ
8478500,Ivan Provorov,D,CBJ
8476923,Damon Severson,D,CBJ
8478460,Zach Werenski,D,CBJ
8478905,Ivan Fedotov,G,CBJ
8482982,Jet Greaves,G,CBJ
8478007,Elvis Merzlikins,G,CBJ
8478891,Mason Appleton,C,DET
8481013,Jonatan Berggren,R,DET
8484794,Michael Brandsegg-Nygård,R,DET
8477456,J.T. Compher,L,DET
8477429,Andrew Copp,C,DET
8484160,Nate Danielson,C,DET
8479337,Alex DeBrincat,R,DET
8484471,Emmitt Finnie,C,DET
8474141,Patrick Kane,R,DET
8483464,Marco Kasper,C,DET
8477946,Dylan Larkin,C,DET
8482802,Carter Mazur,L,DET
8479992,Michael Rasmussen,C,DET
8482078,Lucas Raymond,L,DET
8481725,Elmer Soderblom,L,DET
8474037,James van Riemsdyk,L,DET
8480879,Jacob Bernard-Docker,D,DET
8482777,Shai Buium,D,DET
8475279,Ben Chiarot,D,DET
8482762,Simon Edvinsson,D,DET
8476979,Erik Gustafsson,D,DET
8474612,Travis Hamonic,D,DET
8475718,Justin Holl,D,DET
8481607,Albert Johansson,D,DET
8484223,Axel Sandin-Pellikka,D,DET
8481542,Moritz Seider,D,DET
8482171,William Wallinder,D,DET
8476434,John Gibson,G,DET
8485545,Michal Postava,G,DET
8475660,Cam Talbot,G,DET
8482132,Brett Berard,L,NYR
8477380,Jonny Brodzinski,C,NYR
8475842,Sam Carrick,C,NYR
8482157,Will Cuylle,L,NYR
8481726,Adam Edstrom,C,NYR
8483690,Noah Laba,C,NYR
8482109,Alexis Lafrenière,L,NYR
8476468,J.T. Miller,C,NYR
8478550,Artemi Panarin,L,NYR
8481704,Juuso Parssinen,C,NYR
8484210,Gabe Perreault,R,NYR
8479390,Taylor Raddysh,R,NYR
8482460,Matt Rempe,C,NYR
8476389,Vincent Trocheck,C,NYR
8476459,Mika Zibanejad,C,NYR
8478840,Will Borgen,D,NYR
8479323,Adam Fox,D,NYR
8478882,Vladislav Gavrikov,D,NYR
8482666,Scott Morrow,D,NYR
8482073,Braden Schneider,D,NYR
8477369,Carson Soucy,D,NYR
8480001,Urho Vaakanainen,D,NYR
8471734,Jonathan Quick,G,NYR
8478048,Igor Shesterkin,G,NYR
8478445,Mathew Barzal,C,NYI
8475231,Casey Cizikas,C,NYI
8477494,Jonathan Drouin,L,NYI
8477407,Anthony Duclair,L,NYI
8478115,Pierre Engvall,L,NYI
8483553,Marc Gatcomb,C,NYI
8482476,Emil Heineman,L,NYI
8481601,Simon Holmstrom,R,NYI
8477500,Bo Horvat,C,NYI
8483104,Daylan Kuefler,L,NYI
8475314,Anders Lee,L,NYI
8481237,Kyle MacLean,C,NYI
8476419,Jean-Gabriel Pageau,C,NYI
8475151,Kyle Palmieri,C,NYI
8484221,Calum Ritchie,C,NYI
8485702,Max Shabanov,R,NYI
8484958,Maxim Tsyplakov,R,NYI
8478451,Ethan Bear,D,NYI
8480871,Adam Boqvist,D,NYI
8477950,Tony DeAngelo,D,NYI
8483448,Isaiah George,D,NYI
8476429,Scott Mayfield,D,NYI
8476917,Adam Pelech,D,NYI
8477506,Ryan Pulock,D,NYI
8481014,Alexander Romanov,D,NYI
8485366,Matthew Schaefer,D,NYI
8477405,Marcus Hogberg,G,NYI
8479496,David Rittich,G,NYI
8478009,Ilya Sorokin,G,NYI
8473575,Semyon Varlamov,G,NYI
8478569,Noel Acciari,C,PIT
8479638,Justin Brazeau,R,PIT
8482698,Tristan Broz,C,PIT
8471675,Sidney Crosby,C,PIT
8480980,Connor Dewar,C,PIT
8480842,Filip Hallander,C,PIT
8481093,Rafael Harvey-Pinard,L,PIT
8482993,Avery Hayes,R,PIT
8475763,Kevin Hayes,R,PIT
8478046,Danton Heinen,L,PIT
8484869,Tanner Howe,L,PIT
8478147,Bokondji Imama,L,PIT
8485414,Ben Kindel,C,PIT
8482758,Ville Koivunen,R,PIT
8479533,Joona Koppanen,L,PIT
8481481,Blake Lizotte,C,PIT
8471215,Evgeni Malkin,C,PIT
8477511,Anthony Mantha,R,PIT
8483487,Rutger McGroarty,R,PIT
8478438,Tommy Novak,C,PIT
8481591,Sam Poulin,R,PIT
8481703,Valtteri Puustinen,R,PIT
8476483,Rickard Rakell,R,PIT
8475810,Bryan Rust,R,PIT
8481577,Philip Tomasino,R,PIT
8485351,Bill Zonnon,R,PIT
8480222,Sebastian Aho,D,PIT
8480823,Alexander Alexeyev,D,PIT
8484839,Harrison Brunicke,D,PIT
8477365,Connor Clifton,D,PIT
8476856,Mathew Dumba,D,PIT
8477435,Ryan Graves,D,PIT
8478452,Caleb Jones,D,PIT
8474578,Erik Karlsson,D,PIT
8480274,Philip Kemp,D,PIT
8485413,Peyton Kettles,D,PIT
8471724,Kris Letang,D,PIT
8483503,Owen Pickering,D,PIT
8478854,Ryan Shea,D,PIT
8481030,Jack St. Ivany,D,PIT
8478450,Parker Wotherspoon,D,PIT
8482446,Joel Blomqvist,G,PIT
8477465,Tristan Jarry,G,PIT
8479548,Filip Larsson,G,PIT
8483703,Sergei Murashov,G,PIT
8481668,Arturs Silovs,G,PIT
8484153,Leo Carlsson,C,ANA
8482118,Sam Colangelo,R,ANA
8483445,Cutter Gauthier,L,ANA
8475798,Mikael Granlund,C,ANA
8478424,Jansen Harkins,C,ANA
