nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8478007,,Elvis Merzlikins,CBJ,G,5,Goalie,0,36.0,7.2,0,0,0
8480807,,Mattias Samuelsson,BUF,D,9,Skater,0,35.85,3.983,13,24,1251.88
8478450,,Parker Wotherspoon,PIT,D,12,Skater,0,35.75,2.979,17,19,1292.83
8484798,,Zeev Buium,MIN,D,12,Skater,0,35.7,2.975,3,4,1176.83
8479525,,Ross Colton,COL,C,12,Skater,0,35.6,2.967,33,6,736.16
8477451,,Ryan Hartman,MIN,R,12,Skater,0,35.550000000000004,2.963,9,11,989.5
8482762,,Simon Edvinsson,DET,D,11,Skater,0,35.5,3.227,9,29,1265.45
8482122,,Brock Faber,MIN,D,12,Skater,0,35.4,2.95,5,21,1375.41
8480289,,Morgan Barron,WPG,C,11,Skater,0,35.199999999999996,3.2,19,7,749.18
8480028,,Morgan Frost,CGY,C,12,Skater,0,35.05,2.921,7,5,951.25
8484984,,Ivan Demidov,MTL,R,11,Skater,0,35.00000000000001,3.182,3,4,827.18
8478421,,A.J. Greer,FLA,L,11,Skater,0,34.9,3.173,31,4,530.81
8478010,,Brayden Point,TBL,C,11,Skater,0,34.849999999999994,3.168,2,5,1157.18
8477015,,Connor Brown,NJD,R,11,Skater,0,34.8,3.164,6,10,946.54
8483609,,Adam Klapka,CGY,R,11,Skater,0,34.8,3.164,36,5,611.72
8476448,,William Karlsson,VGK,C,11,Skater,0,34.75,3.159,1,12,939.18
8476921,,Jordan Martinook,CAR,L,10,Skater,0,34.65,3.465,20,10,879.4
8475170,,Brayden Schenn,STL,C,11,Skater,0,34.6,3.145,28,3,1032.36
8470613,,Brent Burns,COL,D,12,Skater,0,34.599999999999994,2.883,3,15,1214.83
8474578,,Erik Karlsson,PIT,D,12,Skater,0,34.5,2.875,0,13,1347.33
8482775,,Oliver Kapanen,MTL,C,11,Skater,0,34.5,3.136,8,6,743.81
8475311,,Darcy Kuemper,LAK,G,8,Goalie,0,34.5,4.313,0,0,0
8474102,,David Perron,OTT,L,12,Skater,0,34.300000000000004,2.858,15,3,871.08
8482109,,Alexis Lafrenière,NYR,L,12,Skater,0,34.1,2.842,19,8,1085.66
8483464,,Marco Kasper,DET,C,11,Skater,0,34.050000000000004,3.095,31,8,945.0
8476480,,Vladislav Namestnikov,WPG,C,11,Skater,0,34.0,3.091,10,5,917.9
8481721,,Arseny Gritsyuk,NJD,R,11,Skater,0,33.85,3.077,17,1,812.18
8480980,,Connor Dewar,PIT,C,12,Skater,0,33.7,2.808,28,5,792.08
8477573,,Nathan Walker,STL,L,11,Skater,0,33.65,3.059,38,6,757.81
8478854,,Ryan Shea,PIT,D,12,Skater,0,33.65,2.804,3,16,1237.66
8477505,,Alexander Wennberg,SJS,C,11,Skater,0,33.6,3.055,3,11,1212.54
8478397,,Rasmus Andersson,CGY,D,12,Skater,0,33.6,2.8,7,18,1441.5
8474641,,Adam Henrique,EDM,C,12,Skater,0,33.55,2.796,6,15,811.25
8476469,,Joel Armia,LAK,R,12,Skater,0,33.5,2.792,14,7,861.91
8482078,,Lucas Raymond,DET,L,9,Skater,0,33.5,3.722,2,3,1032.88
8480843,,Lukas Dostal,ANA,G,7,Goalie,0,33.5,4.786,0,0,0
8484145,,Zach Benson,BUF,L,8,Skater,0,33.45,4.181,4,6,1142.12
8476539,,Jonathan Marchessault,NSH,R,9,Skater,0,33.449999999999996,3.717,20,1,1056.77
8477479,,Tyler Bertuzzi,CHI,L,10,Skater,0,33.4,3.34,13,0,1007.9
8475753,,Justin Faulk,STL,D,11,Skater,0,33.35,3.032,11,21,1395.09
8479973,,Stuart Skinner,EDM,G,8,Goalie,0,33.25,4.156,0,0,0
8478550,,Artemi Panarin,NYR,L,12,Skater,0,33.24999999999999,2.771,2,2,1271.16
8475745,,Charlie Coyle,CBJ,C,10,Skater,0,33.2,3.32,14,4,996.4
8482062,,Cole Smith,NSH,R,12,Skater,0,33.050000000000004,2.754,35,3,863.83
8475798,,Mikael Granlund,ANA,C,8,Skater,0,32.95,4.119,3,3,1037.62
8478468,,Jeremy Lauzon,VGK,D,11,Skater,0,32.95,2.995,41,16,1037.45
8477495,,Seth Jones,FLA,D,11,Skater,0,32.8,2.982,15,10,1417.45
8475842,,Sam Carrick,NYR,C,12,Skater,0,32.65,2.721,17,9,752.83
8477446,,Michael McCarron,NSH,C,12,Skater,0,32.65,2.721,32,11,881.58
8480448,,Parker Kelly,COL,C,12,Skater,0,32.65,2.721,28,10,686.58
8480797,,Joel Farabee,CGY,L,12,Skater,0,32.65,2.721,15,10,1073.66
8482073,,Braden Schneider,NYR,D,12,Skater,0,32.6,2.717,29,14,1105.25
8483489,,Fraser Minten,BOS,C,13,Skater,0,32.6,2.508,22,14,782.76
8483808,,Andrei Kuzmenko,LAK,L,12,Skater,0,32.599999999999994,2.717,13,5,958.08
8482259,,Bobby McMann,TOR,C,11,Skater,0,32.45,2.95,36,5,944.18
8482159,,Tyson Foerster,PHI,R,10,Skater,0,32.35,3.235,7,6,1098.3
8479983,,Mario Ferraro,SJS,D,11,Skater,0,32.25,2.932,22,27,1260.63
8476883,,Andrei Vasilevskiy,TBL,G,8,Goalie,0,32.25,4.031,0,0,0
8479406,,Filip Gustavsson,MIN,G,9,Goalie,0,32.25,3.583,0,0,0
8482702,,Logan Stankoven,CAR,C,10,Skater,0,32.2,3.22,3,3,958.3
8478057,,Dakota Joshua,TOR,C,11,Skater,0,32.150000000000006,2.923,37,8,714.27
8476931,,Jake McCabe,TOR,D,11,Skater,0,32.1,2.918,15,28,1261.0
8477402,,Pavel Buchnevich,STL,L,11,Skater,0,32.1,2.918,9,3,1103.63
8474013,,Ian Cole,UTA,D,11,Skater,0,32.050000000000004,2.914,15,28,1115.09
8478542,,Evan Rodrigues,FLA,C,11,Skater,0,32.0,2.909,14,7,996.9
8477444,,Andre Burakovsky,CHI,L,10,Skater,0,31.9,3.19,5,3,1016.7
8476419,,Jean-Gabriel Pageau,NYI,C,10,Skater,0,31.700000000000003,3.17,19,9,884.4
8480036,,Miro Heiskanen,DAL,D,11,Skater,0,31.7,2.882,3,14,1510.18
8480800,,Quinn Hughes,VAN,D,9,Skater,0,31.299999999999997,3.478,1,6,1597.55
8470621,,Corey Perry,LAK,R,6,Skater,0,31.25,5.208,2,2,862.0
8481524,,Bowen Byram,BUF,D,11,Skater,0,31.25,2.841,10,17,1349.45
8478891,,Mason Appleton,DET,C,11,Skater,0,31.2,2.836,10,7,868.27
8483524,,Shane Wright,SEA,C,10,Skater,0,31.1,3.11,8,6,896.5
8478851,,Alexandre Carrier,MTL,D,11,Skater,0,31.05,2.823,5,29,1106.0
8479390,,Taylor Raddysh,NYR,R,12,Skater,0,30.95,2.579,9,3,733.66
8480113,,Alex Iafallo,WPG,L,11,Skater,0,30.95,2.814,13,8,946.45
8478407,,Vince Dunn,SEA,D,10,Skater,0,30.9,3.09,1,7,1417.4
8480796,,Martin Fehervary,WSH,D,10,Skater,0,30.85,3.085,19,18,1153.6
8482092,,Ridly Greig,OTT,C,12,Skater,0,30.849999999999998,2.571,16,8,1022.16
8474574,,Tyler Myers,VAN,D,12,Skater,0,30.75,2.563,14,27,1282.0
8474150,,Mikael Backlund,CGY,C,12,Skater,0,30.700000000000003,2.558,9,2,1021.75
8476853,,Morgan Rielly,TOR,D,10,Skater,0,30.7,3.07,7,10,1300.6
8483468,,Jiri Kulich,BUF,C,11,Skater,0,30.55,2.777,8,12,1009.36
8477447,,Shea Theodore,VGK,D,11,Skater,0,30.4,2.764,0,25,1462.81
8484186,,Ryan Leonard,WSH,R,10,Skater,0,30.349999999999998,3.035,15,3,771.4
8476393,,Nick Cousins,OTT,C,12,Skater,0,30.200000000000003,2.517,24,9,688.33
8480802,,Ryan McLeod,BUF,C,11,Skater,0,30.200000000000003,2.745,2,6,1069.81
8482684,,Luke Hughes,NJD,D,11,Skater,0,30.200000000000003,2.745,7,9,1256.81
8483495,,Simon Nemec,NJD,D,11,Skater,0,30.200000000000003,2.745,2,19,996.0
8478444,,Brock Boeser,VAN,R,10,Skater,0,30.2,3.02,5,3,1077.0
8476312,,Josh Manson,COL,D,12,Skater,0,30.050000000000004,2.504,23,19,1084.16
8474189,,Lars Eller,OTT,C,12,Skater,0,29.95,2.496,10,8,846.5
